,route_id,vehicle_ids
0,34,2004
0,34,2017
0,34,2009
0,34,1830
0,34,2001
0,34,726
0,34,1829
0,34,2011
0,34,705
0,34,1820
0,34,1808
0,34,1906
0,34,2018
0,34,1826
0,34,1821
0,34,709
0,34,859
0,34,713
0,34,1701
0,34,2014
0,34,1809
0,34,1914
0,34,734
0,34,731
0,34,716
0,34,704
0,34,1916
0,34,1907
0,34,2012
0,34,1703
0,34,738
0,34,1824
0,34,736
0,34,1919
0,34,1815
0,34,2015
0,34,727
0,34,720
0,34,711
0,34,1817
0,34,733
0,34,2019
0,34,1900
0,34,2008
0,34,717
0,34,1818
0,34,186
0,34,198
0,34,1807
0,34,1812
0,34,715
0,34,1917
0,34,702
0,34,1904
0,34,1905
0,34,718
0,34,1901
0,34,1763
0,34,735
0,34,1902
0,34,184
0,34,1903
0,34,1825
0,34,719
0,34,725
0,34,1802
0,34,1823
0,34,714
0,34,2003
0,34,869
0,34,2013
0,34,701
0,34,730
0,34,121
0,34,675
0,34,2007
0,34,2002
0,34,710
0,34,706
0,34,1909
0,34,1822
0,34,1800
0,34,707
0,34,1814
0,34,739
0,34,724
0,34,1913
0,34,1702
0,34,1804
0,34,1912
0,34,2016
0,34,199
0,34,1827
0,34,729
0,34,1915
0,34,1908
0,34,1828
0,34,1806
0,34,1819
0,34,723
0,34,1920
0,34,737
0,34,129
0,34,712
0,34,1761
0,34,721
0,34,740
0,34,1801
0,34,1810
0,34,1803
0,34,2005
0,34,732
0,34,1911
0,34,1813
0,34,708
0,34,722
0,34,1918
0,34,728
0,34,703
0,34,1816
0,34,874
0,34,700
0,34,2006
0,34,2010
1,28,2004
1,28,880
1,28,2017
1,28,2009
1,28,1830
1,28,2001
1,28,726
1,28,1829
1,28,2011
1,28,705
1,28,1808
1,28,1820
1,28,1906
1,28,2018
1,28,1826
1,28,1821
1,28,709
1,28,859
1,28,713
1,28,1701
1,28,2014
1,28,1809
1,28,1914
1,28,734
1,28,731
1,28,716
1,28,704
1,28,1916
1,28,1907
1,28,2012
1,28,1703
1,28,870
1,28,738
1,28,1824
1,28,736
1,28,1919
1,28,1815
1,28,2015
1,28,727
1,28,720
1,28,711
1,28,1817
1,28,733
1,28,2019
1,28,1900
1,28,2008
1,28,717
1,28,1818
1,28,1807
1,28,1812
1,28,715
1,28,1917
1,28,702
1,28,1905
1,28,718
1,28,1904
1,28,1901
1,28,735
1,28,1902
1,28,1903
1,28,1825
1,28,719
1,28,725
1,28,1802
1,28,1823
1,28,2003
1,28,1811
1,28,2013
1,28,701
1,28,730
1,28,675
1,28,2007
1,28,1310
1,28,2002
1,28,710
1,28,1700
1,28,706
1,28,1909
1,28,1822
1,28,1800
1,28,707
1,28,1814
1,28,739
1,28,724
1,28,1913
1,28,1702
1,28,1912
